#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-164045.324;20180524-164046.000;33.647084;-117.842162;5;41.2;6.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-164045.822;20180524-164047.000;33.647084;-117.842162;5;46.1;7.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-164046.327;20180524-164047.000;33.647084;-117.842162;5;46.1;356.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-164046.810;20180524-164048.000;33.647084;-117.842162;5;44.7;12.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-164047.313;20180524-164048.000;33.647084;-117.842162;5;44.7;10.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-164047.811;20180524-164049.000;33.647084;-117.842162;5;42.2;21.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-164048.317;20180524-164049.000;33.647084;-117.842162;5;42.2;21.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-164048.812;20180524-164050.000;33.647084;-117.842162;4;45.1;1.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-164049.316;20180524-164050.000;33.647084;-117.842162;4;45.1;9.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-164049.814;20180524-164051.000;33.647084;-117.842162;4;40.6;347.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-164050.317;20180524-164051.000;33.647084;-117.842162;4;40.6;9.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-164050.820;20180524-164052.000;33.647084;-117.842162;4;37.2;351.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-164051.317;20180524-164052.000;33.647084;-117.842162;4;37.2;26.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-164051.818;20180524-164053.000;33.647084;-117.842162;3;34.8;344.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-164052.320;20180524-164053.000;33.647084;-117.842162;3;34.8;4.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-164052.839;20180524-164054.000;33.647084;-117.842162;3;35.4;351.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-164053.338;20180524-164054.000;33.647084;-117.842162;3;35.4;3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-164053.836;20180524-164055.000;33.647084;-117.842162;3;35.7;350.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-164054.339;20180524-164055.000;33.647084;-117.842162;3;35.7;10.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-164054.840;20180524-164056.000;33.647084;-117.842162;4;36.9;348.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-164055.341;20180524-164056.000;33.647084;-117.842162;4;36.9;13.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-164055.841;20180524-164057.000;33.647084;-117.842162;4;36.9;9.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-164056.344;20180524-164057.000;33.647084;-117.842162;4;36.9;28.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-164056.840;20180524-164058.000;33.647084;-117.842162;3;36.8;14.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
